1516011468457 - CLUSD: bid => { price: '0.310', size: 20906 }
1516011468459 - XRPBTC: bid => { price: '0.00013082', size: 100 }
1516011468460 - NXTBTC: ask => { price: '0.00003052', size: 89 }
1516011468460 - NEOBTC: bid => { price: '0.01169', size: 1133 }
1516011468461 - XEMBTC: bid => { price: '0.00010254', size: 200 }
1516011468462 - BTGBTC: bid => { price: '0.023035', size: 239 }
1516011468463 - EOSETH: bid => { price: '0.010724', size: 26174 }
1516011468463 - BCHUSD: bid => { price: '2463.00006', size: 40 }
1516011468465 - BCHETH: ask => { price: '1.886900', size: 555 }
1516011468465 - BCHETH: bid => { price: '1.862334', size: 67 }
1516011468465 - ZECBTC: ask => { price: '0.048042', size: 10142 }
1516011468466 - HVNBTC: bid => { price: '0.00002321', size: 251 }
1516011468466 - GNOBTC: ask => { price: '0.025706', size: 400 }
1516011468467 - BCNBTC: bid => { price: '0.0000007368', size: 100 }
1516011468468 - EOSUSD: bid => { price: '14.23000', size: 48133 }
1516011468468 - ZECUSD: bid => { price: '655.83', size: 2138 }
1516011468469 - XMRUSD: bid => { price: '398.65', size: 3518 }
1516011468471 - BTGETH: ask => { price: '0.239907', size: 1 }
1516011468471 - BTGETH: bid => { price: '0.239657', size: 31 }
1516011468472 - DASHBTC: ask => { price: '0.072503', size: 335 }
1516011468472 - DASHBTC: bid => { price: '0.072122', size: 300 }
1516011468472 - NXTETH: ask => { price: '0.000317', size: 5 }
1516011468473 - DASHUSD: ask => { price: '999.40', size: 168 }
1516011468473 - DASHUSD: bid => { price: '988.95', size: 1418 }
1516011468474 - XRPUSDT: bid => { price: '1.8011', size: 300 }
1516011468475 - NXTUSD: ask => { price: '0.41731', size: 748 }
1516011468475 - LTCBTC: ask => { price: '0.01733', size: 44 }
1516011468475 - LTCBTC: bid => { price: '0.01726', size: 570 }
1516011468476 - FUNETH: ask => { price: '0.0001018', size: 308 }
1516011468476 - FUNUSD: ask => { price: '0.1312362', size: 2223 }
1516011468496 - EKOETH: ask => { price: '0.000258', size: 5 }
1516011468496 - EKOETH: bid => { price: '0.000248', size: 1 }
1516011468545 - BCHUSD: bid => { price: '2463.10013', size: 5 }
1516011468547 - LSKBTC: bid => { price: '0.0020387', size: 338 }
1516011468549 - BTCUSD: bid => { price: '13726.08', size: 5 }
1516011468550 - NXTBTC: ask => { price: '0.00003051', size: 89 }
1516011468550 - NXTBTC: bid => { price: '0.00003015', size: 3 }
1516011468553 - XDNETH: ask => { price: '0.0000288', size: 1 }
1516011468555 - BTGETH: ask => { price: '0.239897', size: 1 }
1516011468555 - BTGETH: bid => { price: '0.239666', size: 1 }
1516011468557 - FUNUSD: ask => { price: '0.1290535', size: 110 }
1516011468558 - LOCETH: bid => { price: '0.0017', size: 10794 }
1516011468558 - XVGETH: ask => { price: '0.0001027', size: 2 }
