{ BTC: { currency_code: 'BTC', cash: '0.022940224', reserved: '0' },
  ETH: { currency_code: 'ETH', cash: '0.24776939', reserved: '0' },
  USD: { currency_code: 'USD', cash: '7.5357592', reserved: '0' } }
1515846255070 - LTCETH: bid => { price: '0.176', size: 4824 }
1515846256058 - LTCETH: bid => { price: '0.180', size: 787 }
1515846256866 - LTCETH: bid => { price: '0.178', size: 351 }
1515846258167 - LTCETH: bid => { price: '0.180', size: 752 }
1515846258167 - LTCETH: ask => { price: '0.185', size: 4874 }
1515846260033 - LTCETH: ask => { price: '0.185', size: 5218 }
1515846264305 - LTCETH: bid => { price: '0.176', size: 4824 }
1515846264345 - LTCETH: bid => { price: '0.180', size: 787 }
1515846264688 - LTCETH: bid => { price: '0.176', size: 4825 }
1515846264698 - LTCETH: bid => { price: '0.176', size: 1534 }
1515846265852 - LTCETH: bid => { price: '0.176', size: 4825 }
1515846267247 - LTCETH: bid => { price: '0.180', size: 752 }
1515846267742 - LTCETH: bid => { price: '0.177', size: 3148 }
1515846267742 - LTCETH: ask => { price: '0.186', size: 1929 }
1515846268396 - LTCETH: bid => { price: '0.177', size: 3147 }
1515846268396 - LTCETH: ask => { price: '0.186', size: 1928 }
1515846268469 - LTCETH: bid => { price: '0.182', size: 2627 }
1515846269354 - LTCETH: bid => { price: '0.175', size: 3555 }
1515846270363 - LTCETH: bid => { price: '0.176', size: 4825 }
1515846271350 - LTCETH: bid => { price: '0.176', size: 4824 }
1515846272486 - LTCETH: bid => { price: '0.180', size: 787 }
1515846273343 - LTCETH: bid => { price: '0.177', size: 1587 }
1515846274244 - LTCETH: bid => { price: '0.176', size: 4825 }
1515846274556 - LTCETH: bid => { price: '0.176', size: 4824 }
1515846274851 - LTCETH: bid => { price: '0.176', size: 4825 }
1515846275572 - LTCETH: bid => { price: '0.180', size: 752 }
1515846275572 - LTCETH: ask => { price: '0.186', size: 1929 }
1515846276147 - LTCETH: bid => { price: '0.177', size: 2905 }
1515846276147 - LTCETH: ask => { price: '0.186', size: 1928 }
1515846276539 - LTCETH: ask => { price: '0.185', size: 4874 }
1515846277974 - LTCETH: bid => { price: '0.176', size: 5863 }
1515846278271 - LTCETH: bid => { price: '0.177', size: 2907 }
1515846278271 - LTCETH: ask => { price: '0.186', size: 2273 }
1515846278571 - LTCETH: bid => { price: '0.176', size: 5865 }
1515846278571 - LTCETH: ask => { price: '0.187', size: 1316 }
1515846279074 - LTCETH: bid => { price: '0.176', size: 5864 }
1515846279074 - LTCETH: ask => { price: '0.187', size: 1315 }
1515846279163 - LTCETH: bid => { price: '0.177', size: 2905 }
1515846279163 - LTCETH: ask => { price: '0.186', size: 2272 }
1515846279567 - LTCETH: bid => { price: '0.176', size: 5862 }
1515846284051 - LTCETH: bid => { price: '0.180', size: 787 }
1515846284280 - LTCETH: bid => { price: '0.176', size: 5862 }
1515846284385 - LTCETH: bid => { price: '0.176', size: 5863 }
